id,years,program,Y0_enrol,Y0_complete,Y0_grade,Y1_enrol,Y1_complete,Y1_grade,Y2_enrol,Y2_complete,Y2_grade,Y3_enrol,Y3_complete,Y3_grade,Y4_enrol,Y4_complete,Y4_grade,Class
111335726,four,nursing,high,high,B,high,high,B,high,high,C,high,high,B,low,low,E,ok
111335727,four,nursing,high,high,B,high,high,B,high,high,C,low,low,E,low,low,E,ok
111335728,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335750,four,nursing,high,high,B,high,high,B,high,high,C,high,high,C,low,low,E,ok
111335753,four,nursing,low,low,A,high,high,A,high,medium,B,high,high,B,high,high,C,ok
111335755,four,nursing,medium,low,E,low,low,E,low,low,E,low,low,E,low,low,E,fail
111335756,four,nursing,high,high,B,high,high,B,high,high,B,high,high,C,low,low,E,ok
111335757,four,nursing,high,low,B,low,low,E,low,low,E,low,low,E,low,low,E,fail
111335758,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335759,four,nursing,high,high,B,high,medium,B,high,high,B,high,high,B,low,low,E,ok
111335760,four,nursing,low,low,A,high,high,A,high,high,B,high,medium,B,high,high,B,ok
111335761,four,nursing,high,high,A,high,high,B,high,medium,B,high,high,B,low,low,E,ok
111335762,four,nursing,low,low,A,high,high,B,high,medium,B,high,high,B,high,medium,C,ok
111335763,four,nursing,low,low,C,high,high,B,high,medium,C,high,medium,B,high,medium,C,ok
111335764,four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335812,four,nursing,medium,low,E,low,low,E,low,low,E,low,low,E,low,low,E,fail
111335814,four,nursing,medium,low,E,high,low,B,high,medium,C,high,high,C,low,low,E,fail
111335816,four,nursing,high,high,B,high,medium,B,high,medium,C,high,high,C,low,low,E,ok
111335817,four,nursing,high,medium,B,medium,medium,C,high,low,C,high,high,C,low,low,E,fail
111335818,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335819,four,nursing,high,high,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
111335820,four,nursing,high,medium,C,low,low,E,low,low,E,low,low,E,low,low,E,fail
111335821,four,nursing,low,low,B,high,medium,B,high,high,B,high,high,B,high,high,B,ok
111335822,four,nursing,low,low,A,high,high,A,high,medium,B,high,high,B,high,high,B,ok
111335823,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335824,four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335825,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335826,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335827,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335828,four,nursing,high,high,B,high,high,B,high,medium,B,high,high,B,low,low,E,ok
111335829,four,nursing,high,high,A,high,high,B,high,medium,B,high,high,C,low,low,E,ok
111335830,four,nursing,high,high,B,high,high,B,high,medium,B,high,high,B,low,low,E,ok
111335831,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335832,four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335833,four,nursing,high,high,B,high,high,B,high,high,B,high,medium,B,low,low,E,ok
111335834,four,nursing,medium,medium,B,high,medium,B,medium,medium,B,medium,low,B,high,medium,C,ok
111335835,four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335836,four,nursing,low,low,B,high,high,B,high,medium,C,high,medium,C,high,medium,C,ok
111335837,four,nursing,high,high,B,high,high,B,high,high,B,high,high,C,low,low,E,ok
111335838,four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335839,four,nursing,high,high,B,high,high,B,high,high,C,high,medium,C,low,low,E,ok
111335840,four,nursing,high,medium,B,high,high,C,low,low,E,low,low,E,low,low,E,fail
111335841,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335842,four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335843,four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335844,four,nursing,high,high,B,high,high,B,high,high,B,high,medium,B,low,low,E,ok
111335845,four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335846,four,nursing,high,high,B,high,high,B,high,high,B,high,high,C,low,low,E,ok
111335847,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335848,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335849,four,nursing,high,high,A,high,high,B,high,medium,B,high,high,B,low,low,E,ok
111335850,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335851,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335852,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335853,four,nursing,high,high,A,high,high,A,high,medium,A,high,high,A,low,low,E,ok
111335854,four,nursing,high,high,B,high,medium,A,high,high,B,high,high,B,low,low,E,ok
111335855,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335856,four,nursing,low,low,B,high,high,B,high,medium,B,high,high,B,high,high,B,ok
111335857,four,nursing,high,medium,B,low,low,E,low,low,E,low,low,E,low,low,E,fail
111335858,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335859,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335860,four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335861,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335862,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335863,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335864,four,nursing,medium,low,E,low,low,E,low,low,E,low,low,E,low,low,E,fail
111335865,four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335866,four,nursing,low,low,A,high,high,B,high,medium,B,high,high,C,high,high,B,ok
111335867,four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335868,four,nursing,high,high,A,high,high,B,high,high,B,high,medium,B,low,low,E,ok
111335869,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335870,four,nursing,medium,low,C,medium,medium,B,medium,low,A,medium,medium,B,high,low,E,ok
111335871,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335872,four,nursing,high,high,B,high,high,B,high,high,B,high,medium,B,low,low,E,ok
111335873,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335874,four,nursing,high,high,B,high,high,B,high,high,B,high,high,C,low,low,E,ok
111335875,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335876,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335878,four,nursing,high,high,B,high,high,B,high,medium,C,high,medium,B,low,low,E,ok
111335885,four,nursing,high,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335895,four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111335897,four,nursing,high,high,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
111345753,four,nursing,high,high,B,medium,medium,B,high,high,B,high,medium,C,low,low,E,ok
111345763,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345764,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345765,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345768,four,nursing,high,high,A,medium,medium,A,high,high,B,high,high,B,low,low,E,ok
111345769,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,C,low,low,E,ok
111345773,four,nursing,low,low,E,low,low,E,medium,low,E,high,medium,B,high,medium,B,fail
111345776,four,nursing,high,high,B,medium,medium,B,high,high,C,high,high,C,low,low,E,ok
111345779,four,nursing,high,high,B,medium,medium,B,high,medium,B,high,high,C,low,low,E,ok
111345824,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345827,four,nursing,low,low,B,high,high,B,high,medium,B,medium,medium,B,high,high,B,ok
111345828,four,nursing,high,high,B,medium,medium,B,high,high,B,high,medium,C,low,low,E,ok
111345831,four,nursing,low,low,A,high,high,A,medium,medium,B,high,medium,B,high,high,B,ok
111345832,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345833,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345834,four,nursing,high,high,A,medium,medium,B,high,high,A,high,high,B,low,low,E,ok
111345835,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345836,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345837,four,nursing,high,high,B,medium,medium,C,high,high,C,high,high,C,low,low,E,ok
111345838,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345839,four,nursing,high,high,B,medium,medium,B,high,high,C,high,high,C,low,low,E,ok
111345840,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345841,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345842,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345844,four,nursing,high,high,B,high,high,B,medium,medium,B,high,high,B,low,low,E,ok
111345845,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345846,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,C,low,low,E,ok
111345849,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345850,four,nursing,high,high,A,medium,medium,B,high,high,B,high,medium,B,low,low,E,ok
111345851,four,nursing,medium,low,E,medium,low,E,high,medium,B,medium,medium,C,high,medium,B,fail
111345852,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345853,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345854,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345855,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345856,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345857,four,nursing,high,high,A,medium,medium,B,low,low,E,high,medium,B,high,high,B,ok
111345858,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,C,low,low,E,ok
111345859,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345860,four,nursing,high,high,A,medium,medium,B,high,high,A,high,high,A,low,low,E,ok
111345861,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345862,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345863,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345864,four,nursing,high,high,A,medium,medium,B,high,high,C,high,high,B,low,low,E,ok
111345865,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345866,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345867,four,nursing,high,high,A,medium,medium,A,high,high,B,high,medium,B,low,low,E,ok
111345868,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345869,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345870,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345871,four,nursing,high,high,B,medium,medium,B,high,high,B,high,medium,B,low,low,E,ok
